Year,Copper 1.2,Copper 1.2 SD,Copper 1.3,Copper 1.3 SD,Bristol Bay 1.2,Bristol Bay 1.2 SD,Bristol Bay 1.3,Bristol Bay 1.3 SD,Bristol Bay 2.2,Bristol Bay 2.2 SD,Bristol Bay 2.3,Bristol Bay 2.3 SD,Chilkoot 1.2,Chilkoot 1.2 SD,Chilkoot 1.3,Chilkoot 1.3 SD,HughSmith 1.2,HughSmith 1.2 SD,HughSmith 1.3,HughSmith 1.3 SD,McDonald 1.2,McDonald 1.2 SD,McDonald 1.3,McDonald 1.3 SD,GoodNews 1.2 ,GoodNews 1.2 SD,GoodNews 1.3 ,GoodNews 1.3 SD,Kanektok 1.2,Kanektok 1.2 SD,Kanektok 1.3,Kanektok 1.3 SD,Taku 1.2,Taku 1.2 SD,Taku 1.3,Taku 1.3 SD,Dist 101 1.2,Dist 101 1.2 SD,Dist 101 1.3,Dist 101 1.3 SD,Dist 115 1.2,Dist 115 1.2 SD,Dist 115 1.3,Dist 115 1.3 SD,Karluk Late 2.2,Karluk Late 2.2 SD,Karluk Early 2.2,Karluk Early 2.2 SD,Frazer 2.2,Frazer 2.2 SD,Ayakulik 2.2,Ayakulik 2.2 SD,Chignik 1.3,Chignik 1.3 SD,Upper Station 2.2,Upper Station 2.2 SD,Bear 2.2,Bear 2.2 SD,Cook Inlet Drift 1.3,Cook Inlet Drift 1.3 SD,Crescent 1.3,Crescent 1.3 SD,Crescent 1.2,Crescent 1.2 SD,Fish 1.2,Fish 1.2 SD,Fish 1.3,Fish 1.3 SD,HiddenLake 1.2,HiddenLake 1.2 SD,HiddenLake 1.3,HiddenLake 1.3 SD,Kasilof 1.3,Kasilof 1.3 SD,Kasilof 1.2,Kasilof 1.2 SD,Kenai 1.3,Kenai 1.3 SD,Kenai 1.2,Kenai 1.2 SD,Yetna 1.3,Yetna 1.3 SD,Yetna 1.2,Yetna 1.2 SD
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,29,603,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,35,604,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,510,41,574,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,529,43,569,30,,,,,,,,,,,,,,,,,,,,,,,,,527,45,576,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,25,555,31,,,,,,,,,579,34,518,54,,,,
1968,518,35,576,33,,,,,,,,,,,,,,,,,,,,,,,,,534,22,588,30,,,,,,,,,,,,,,,,,,,,,,,,,,,574,29,,,,,,,,,,,,,552,29,511,31,579,33,533,43,,,,
1969,516,33,569,35,,,,,,,,,,,,,,,,,,,,,,,,,531,20,589,29,,,,,,,,,,,,,,,,,,,,,,,,,,,564,37,,,,,473,26,522,60,,,,,535,34,494,31,580,28,523,42,,,,
1970,518,65,558,28,,,,,,,,,,,,,,,,,,,,,,,,,521,27,570,30,,,,,,,,,,,,,,,,,,,,,,,,,,,572,28,,,,,487,28,522,24,,,,,536,25,472,20,565,38,488,34,,,,
1971,519,37,579,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,25,,,,,478,36,525,32,,,,,550,20,486,20,595,33,523,49,,,,
1972,521,34,570,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,30,,,,,514,29,557,34,540,35,638,25,545,27,480,25,598,37,523,40,,,,
1973,565,43,581,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,32,,,,,507,34,573,49,534,29,566,36,545,26,485,37,597,30,501,52,,,,
1974,533,31,589,28,,,,,,,,,,,,,,,,,,,,,,,,,540,24,552,27,,,,,,,,,,,,,,,,,,,,,,,,,,,585,34,,,,,523,29,573,11,,,,,559,28,505,21,594,30,530,42,572,35,507,37
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,30,586,33,,,,,,,,,,,,,,,,,,,,,,,,,,,592,26,,,480,42,497,34,500,33,,,,,538,30,481,25,597,31,505,38,577,28,488,37
1976,528,37,590,29,,,,,,,,,,,,,,,,,,,,,,,,,557,29,593,36,,,,,,,,,,,,,,,,,,,,,,,,,,,591,31,,,,,528,31,576,32,,,,,556,25,492,19,589,37,503,43,,,,
1977,532,48,595,29,,,,,,,,,,,,,,,,,,,,,,,,,532,36,581,36,,,,,,,,,,,,,,,,,,,,,,,,,,,602,27,,,,,,,,,,,,,566,27,491,26,608,26,515,56,,,,
1978,523,32,571,34,,,,,,,,,,,,,,,,,,,,,,,,,532,24,559,29,,,,,,,,,,,,,,,,,,,,,,,,,,,604,29,592,27,538,30,,,,,,,,,555,23,498,28,599,28,511,44,,,,
1979,508,27,591,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,29,577,31,518,51,514,31,,,,,,,568,32,489,25,595,30,509,50,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,533,31,571,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,28,557,26,477,47,547,44,589,47,,,,,529,32,471,29,565,40,477,42,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,540,40,571,36,533,22,579,28,,,,,,,,,,,,,,,,,,,,,,,,,,,577,27,561,29,477,42,512,34,543,30,,,,,562,23,499,29,579,28,506,49,,,,
1982,,,,,,,,,,,,,467,42,577,30,488,34,589,24,502,58,599,23,525,21,587,25,530,25,573,25,,,,,544,32,594,27,513,33,585,25,,,,,,,,,,,,,,,,,572,28,511,62,,,,,,,,,544,27,475,30,583,29,495,45,,,,
1983,515,36,569,43,,,,,,,,,456,34,573,22,473,34,579,28,457,22,566,34,534,31,575,30,529,22,575,27,469,,578,,532,32,582,28,521,43,587,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,23,492,21,587,27,526,32,,,,
1984,507,39,585,29,,,,,,,,,461,37,572,27,465,32,587,29,456,33,582,28,554,40,577,30,541,36,573,30,476,,576,,530,31,588,29,509,37,582,26,,,,,,,,,,,,,,,556,28,561,31,488,41,497,34,551,46,521,21,570,26,536,25,481,26,574,28,517,33,561,28,478,38
